id,country_id,total_cases,new_cases,total_deaths,new_deaths,total_recovered,new_recovered,active_cases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
206,206,"8,090",0,295,0,"7,783",0,12,2,"1,525",56,"139,824","26,356"
207,207,"7,779",0,126,0,0,0,0,0,937,15,"259,958","31,296"
208,208,"7,701",0,194,0,"4,874",0,"2,633",0,442,11,"191,341","10,988"
209,209,"7,392",0,64,0,0,0,0,0,"241,600","2,092","107,339","3,508,269"
210,210,"7,203",0,2,0,"7,150",0,51,0,"409,937",114,"19,690","1,120,596"
211,211,"6,778",0,80,0,"6,685",0,13,0,"29,770",351,"29,600","130,008"
212,212,"6,752",0,40,0,"6,709",0,3,4,"169,900","1,007","616,788","15,520,193"
213,213,"6,607",0,48,0,"6,559",0,0,0,"122,645",891,"126,958","2,356,704"
214,214,"6,290",0,10,0,"6,276",0,4,0,"344,979",548,"71,434","3,917,841"
215,215,"5,507",0,6,0,0,0,0,0,"553,746",603,"78,646","7,908,095"
216,216,"5,393",0,1,0,"5,347",0,45,0,"494,635",92,"20,509","1,881,042"
217,217,"5,085",0,24,0,"2,703",0,"2,358",3,"41,201",194,0,0
218,218,"3,904",0,12,0,0,0,0,0,"256,336",788,"51,382","3,373,736"
219,219,"3,550",0,8,0,438,0,"3,104",0,"323,256",728,"20,508","1,867,419"
220,220,"3,452",0,2,0,"2,449",0,"1,001",0,"599,410",347,"25,400","4,410,488"
221,221,"2,943",0,1,0,0,0,0,0,"243,909",83,0,0
222,222,"2,166",0,,0,2,0,"2,164",0,"354,211",0,0,0
223,223,"1,930",0,,0,"1,930",0,0,0,"545,352",0,"8,632","2,439,107"
224,224,"1,403",0,8,0,"1,376",0,19,0,"282,578","1,611","17,762","3,577,442"
225,225,"1,059",0,,0,"1,056",0,3,0,"652,898",0,0,0
226,226,712,0,13,0,699,0,0,0,0,0,0,0
227,227,80,0,,0,0,0,80,0,"58,055",0,0,0
228,228,29,0,,0,29,0,0,0,"36,295",0,0,0
229,229,10,0,1,0,9,0,0,0,16,2,0,0
230,230,9,0,2,0,7,0,0,0,0,0,0,0
231,231,"503,302",0,"5,272",0,"379,053",0,"118,977",0,347,4,"160,000,000","110,461"
